time_milisecc,gx,gy,gz
1421632170018.00,1.0679814,0.19398439,0.17586477
1421632170038.00,-0.099124454,-0.9773849,0.06608235
1421632170059.00,-0.006395315,-0.068214744,0.44126156
1421632170078.00,-1.1340646,0.36984968,0.381574
1421632170102.00,-1.5049806,-0.7290417,-0.13856082
1421632170119.00,-1.5145732,-1.1351306,-0.43699864
1421632170203.00,-1.7032287,-1.0136236,-0.49455488
1421632170204.00,-2.1253052,-1.4804659,-0.6320494
1421632170205.00,-2.7957246,-1.1372625,-0.74502945
1421632170205.00,-3.0419362,-1.741599,-1.4271734
1421632170219.00,-2.8234367,-0.7844658,-2.1285028
1421632170238.00,-2.773342,0.64270705,-1.6563312
1421632170259.00,-1.9718229,2.9758527,-0.7695441
1421632170281.00,-0.62778616,3.1026893,-1.3419056
1421632170319.00,-1.1329987,-1.8620404,-2.2169685
1421632170319.00,-1.6435409,-3.2881474,-1.5113757
1421632170338.00,-0.549979,-2.4024262,-1.0487968
1421632170358.00,0.37624475,-2.4077554,-0.61712766
1421632170378.00,0.90703803,-2.3065,0.004263188
1421632170398.00,1.5550749,-1.0509284,0.5371881
1421632170418.00,2.5399203,0.77380675,0.94007933
1421632170438.00,2.8245022,1.901476,1.2374517
1421632170503.00,2.478101,1.8577762,0.9134331
1421632170503.00,-2.148754,1.6467379,-0.58088845
1421632170504.00,-1.9110693,4.847486,-1.0146894
1421632170522.00,0.39223224,5.2621007,-0.53079355
1421632170539.00,-1.3973297,3.9809494,0.105518706
1421632170558.00,-0.08846568,-0.79938775,1.3738804
1421632170586.00,1.0594544,-4.6854773,3.124006
1421632170598.00,0.070345536,-0.49135694,1.8577762
1421632170619.00,0.55317557,-0.6416418,1.9835464
1421632170638.00,1.7575862,-3.3115962,1.5412188
1421632170658.00,4.2431483,-2.4919574,1.0253474
1421632170678.00,4.3273506,2.7541564,0.79618984
1421632170699.00,3.131467,3.011026,-0.34640136
1421632170718.00,2.6923368,1.4005266,-0.63098353
1421632170738.00,1.7927593,0.57769024,0.2238283
1421632170758.00,0.30909607,-0.068214744,0.19611599
1421632170823.00,-0.25260696,0.16627233,0.50841
1421632170824.00,-1.1308671,0.3837056,0.5542419
1421632170825.00,-1.9462423,-0.11937566,0.045831405
1421632170838.00,-1.8162087,-1.5401537,-0.45405218
1421632170859.00,-2.1380954,-1.337642,-0.6800129
1421632170883.00,-2.5836208,-2.1231735,-0.75568795
1421632170898.00,-3.0952287,-2.169005,-0.7706099
1421632170918.00,-3.1634429,-2.1455564,-1.3888028
1421632170938.00,-3.1165457,-0.9773849,-2.1722028
1421632170958.00,-3.106953,-0.24834323,-1.5177706
1421632170979.00,-2.3043678,2.463179,-0.15561436
1421632170998.00,-0.9358164,2.9939725,-0.87826073
1421632171029.00,-1.2534399,-1.2470449,-2.135964
1421632171038.00,-1.2321227,-2.4855626,-1.6158288
1421632171058.00,-0.48602796,-2.0517616,-0.8377583
1421632171078.00,0.3794424,-2.2905118,-0.47856686
1421632171103.00,0.8910503,-2.0048642,-0.046897735
1421632171179.00,1.7522572,-0.74609524,0.30589867
1421632171180.00,2.8362267,1.0114915,0.6075339
1421632171180.00,3.3425055,1.9323857,0.7588848
1421632171181.00,3.0952282,2.2286918,1.049862
1421632171202.00,-1.1660403,0.91023546,0.23022309
1421632171225.00,-2.7200494,2.946009,-0.77700466
1421632171239.00,-0.22063118,5.404925,-0.9251582
1421632171258.00,-0.9176971,3.74966,0.18226008
1421632171279.00,-0.9773849,1.4271729,-0.050095126
1421632171299.00,0.38690326,-0.71198815,2.1892552
1421632171319.00,0.32295248,-1.6701871,1.7000304
1421632171339.00,0.40715444,-2.3406067,2.0773413
1421632171359.00,1.3355098,-3.9383159,1.7341379
1421632171379.00,4.5309277,-2.4471917,1.1191423
1421632171400.00,3.3819416,1.5348237,0.97098905
1421632171488.00,3.27962,1.7437303,0.2280915
1421632171488.00,3.4096537,1.3792096,-0.41035238
1421632171489.00,2.4887595,1.9931393,0.019185146
1421632171489.00,1.1937516,0.31549138,0.24407952
1421632171498.00,0.052226186,-0.5052131,0.25367194
1421632171519.00,-0.38264033,0.18545748,0.5009494
1421632171538.00,-1.5753267,-0.5553082,0.4220764
1421632171558.00,-2.1423585,-1.3014032,-0.24621163
1421632171578.00,-2.0837371,-1.4708732,-0.6874735
1421632171598.00,-2.43227,-1.9441108,-0.7087907
1421632171618.00,-2.9470754,-2.6070693,-0.6533666
1421632171640.00,-2.97159,-2.1423585,-0.9880431
1421632171658.00,-3.1357307,-1.9995348,-1.9878106
1421632171678.00,-3.1048212,-1.0104262,-1.573195
1421632171699.00,-2.6582303,1.4143827,-0.42314273
1421632171718.00,-1.6499362,3.8157423,-0.35492826
1421632171738.00,-0.54145205,0.58301973,-2.0421689
