time_millisec,ax,ay,az
1421714483244.00,-0.2933899,4.113596,10.178084
1421714483264.00,0.2255809,3.4467325,8.50217
1421714483306.00,-0.16630417,4.002377,8.171207
1421714483308.00,-0.6779402,4.288582,9.047935
1421714483323.00,-0.43873763,4.151916,9.091943
1421714483342.00,-0.26240432,4.104764,9.017398
1421714483363.00,-0.49966094,4.3974056,8.599767
1421714483382.00,-0.78885955,4.747378,8.389903
1421714483403.00,-0.35401383,4.282744,8.424332
1421714483425.00,-0.66910857,4.356241,7.9544587
1421714483443.00,-0.7366182,4.0188427,8.599617
1421714483470.00,-1.0114467,4.3569894,9.004375
1421714483484.00,-1.2702584,4.631369,10.722652
1421714483502.00,-1.5021263,4.8018646,10.455458
1421714483522.00,-1.2786411,4.774621,8.955876
1421714483543.00,-0.8437953,4.4403663,8.778794
1421714483562.00,-0.80906755,4.5075765,8.934022
1421714483585.00,-0.8370593,4.859345,9.016051
1421714483602.00,-0.8705896,4.6660967,8.653954
1421714483627.00,-0.4236191,4.7609997,8.166119
1421714483646.00,-0.28351045,4.6393027,7.576794
1421714483662.00,-0.32542327,4.9014072,7.508536
1421714483683.00,-0.010029145,4.863686,7.80941
1421714483703.00,-0.044906616,5.079537,8.636291
1421714483722.00,-0.38260436,4.1516166,9.556726
1421714483747.00,-0.62734544,5.667065,8.6032095
1421714483782.00,0.14444962,5.735623,7.666308
1421714483783.00,0.676593,4.485123,7.582632
1421714483802.00,0.8901988,4.2222695,7.824978
1421714483822.00,0.22647904,5.1769843,7.859855
1421714483843.00,0.72269714,4.643943,8.4288225
1421714483865.00,0.8467891,4.1186852,7.923024
1421714483884.00,0.43709105,4.590803,7.4730597
1421714483902.00,0.1619632,5.5708156,7.305558
1421714483930.00,0.4236191,6.7139883,7.2602024
1421714483942.00,1.4160553,7.0027375,8.843011
1421714483962.00,1.9276913,10.183923,7.3708224
1421714483982.00,-0.3222798,12.652289,6.250103
1421714484003.00,-2.107318,12.054283,6.823261
1421714484022.00,-0.060474243,9.806108,9.159153
1421714484042.00,2.5622218,9.501941,8.524773
1421714484062.00,2.8270211,9.870923,6.525231
1421714484082.00,1.1630814,14.051879,3.8109252
1421714484104.00,0.86100954,11.362123,4.7385464
1421714484128.00,0.7259903,5.4271145,7.6260414
1421714484152.00,-2.840044,8.813822,12.903018
1421714484164.00,-1.2960049,9.633517,6.5994763
1421714484183.00,-0.5016069,7.3268137,9.390722
1421714484202.00,-0.45250902,5.1439033,9.925859
1421714484222.00,-0.026195526,5.4447775,9.091195
1421714484242.00,0.97597045,4.4069858,7.3573503
1421714484264.00,1.0008187,3.5054104,8.36745
1421714484301.00,0.19309846,3.137326,10.34364
1421714484304.00,0.26973906,3.1326857,10.444081
1421714484322.00,1.1603869,4.3397756,9.108858
1421714484342.00,1.2069402,4.441863,10.262509
1421714484362.00,2.1258793,5.7185583,7.3961196
1421714484383.00,3.5625916,3.1356792,9.645493
1421714484409.00,3.618575,2.5878186,13.860427
1421714484470.00,0.18516494,2.9639864,17.414936
1421714484471.00,-0.56372774,2.578987,17.187708
1421714484472.00,1.8098863,3.7637732,13.032648
1421714484489.00,3.2724948,5.9986258,8.251591
