time_milisec,time,P1,P2,P3,P4,P5,P6,P7,P8(kPa),acX,acY,acZ(G),tem(℃),hum(%)
1421109984601,18:46:24.601,23.3,6.7,6.6,30.3,19.3,9.4,15.0,14.3,-1.464,-1.439,-1.366,,
1421109984603,18:46:24.603,15.4,11.8,9.9,24.1,25.8,10.9,5.0,7.9,-1.478,-1.410,-1.347,,
1421109984606,18:46:24.606,15.4,16.9,6.6,19.5,25.8,6.2,11.6,6.3,-1.493,-1.410,-1.268,,
1421109984608,18:46:24.608,7.7,5.0,3.3,25.7,22.6,7.8,15.0,7.9,-1.478,-1.430,-1.332,,
1421109984611,18:46:24.611,15.4,8.4,4.9,19.5,14.4,14.1,13.3,7.9,-1.493,-1.430,-1.366,,
1421109984614,18:46:24.614,7.7,13.5,8.2,25.7,17.7,15.7,13.3,3.2,-1.469,-1.425,-1.361,,
1421109984621,18:46:24.620,15.4,8.4,8.2,18.0,17.7,14.1,16.7,7.9,-1.483,-1.430,-1.366,,
1421109984624,18:46:24.623,15.4,10.1,8.2,31.8,19.3,9.4,21.8,4.7,-1.454,-1.430,-1.371,,
1421109984628,18:46:24.628,15.4,15.2,13.2,27.2,19.3,9.4,8.3,16.0,-1.483,-1.410,-1.347,,
1421109984631,18:46:24.631,13.9,11.8,6.6,24.1,11.2,0.0,13.3,1.6,-1.537,-1.430,-1.366,,
1421109984634,18:46:24.634,15.4,5.0,8.2,25.7,25.8,12.5,13.3,16.0,-1.493,-1.430,-1.366,,
1421109984638,18:46:24.637,15.4,10.1,6.6,21.1,29.1,1.6,11.6,4.7,-1.478,-1.425,-1.347,,
1421109984640,18:46:24.640,20.1,10.1,6.6,25.7,19.3,20.5,25.2,7.9,-1.469,-1.425,-1.366,,
1421109984643,18:46:24.643,34.4,11.8,8.2,18.0,17.7,9.4,13.3,11.1,-1.483,-1.425,-1.366,,
1421109984645,18:46:24.645,15.4,13.5,8.2,31.8,19.3,9.4,6.6,4.7,-1.498,-1.444,-1.371,,
1421109984647,18:46:24.647,21.7,16.9,9.9,25.7,16.0,7.8,8.3,14.3,-1.478,-1.410,-1.332,,
1421109984650,18:46:24.650,15.4,5.0,1.6,19.5,14.4,7.8,13.3,7.9,-1.488,-1.430,-1.371,,
1421109984653,18:46:24.652,13.9,5.0,6.6,25.7,25.8,6.2,16.7,6.3,-1.483,-1.420,-1.332,,
1421109984655,18:46:24.655,15.4,10.1,6.6,25.7,17.7,1.6,15.0,19.2,-1.508,-1.449,-1.361,,
1421109984658,18:46:24.658,23.3,10.1,9.9,25.7,17.7,6.2,5.0,22.5,-1.449,-1.420,-1.361,,
1421109984661,18:46:24.661,31.2,11.8,8.2,18.0,20.9,14.1,13.3,7.9,-1.488,-1.425,-1.391,,
1421109984666,18:46:24.666,17.0,10.1,8.2,31.8,17.7,7.8,3.3,9.5,-1.488,-1.405,-1.395,,
1421109984668,18:46:24.668,17.0,18.6,18.2,25.7,19.3,7.8,16.7,16.0,-1.483,-1.400,-1.356,,
1421109984681,18:46:24.680,17.0,11.8,0.0,18.0,11.2,7.8,13.3,6.3,-1.522,-1.415,-1.288,,
1421109984719,18:46:24.719,18.6,6.7,8.2,27.2,6.4,9.4,13.3,6.3,-1.483,-1.430,-1.361,,
1421109984727,18:46:24.727,12.3,13.5,6.6,24.1,12.8,3.1,13.3,7.9,-1.464,-1.430,-1.371,,
1421109984762,18:46:24.762,29.6,15.2,16.6,24.1,19.3,7.8,13.3,6.3,-1.478,-1.420,-1.361,,
1421109984799,18:46:24.799,18.6,16.9,16.6,24.1,11.2,0.0,13.3,7.9,-1.483,-1.425,-1.371,,
1421109984841,18:46:24.840,21.7,16.9,28.4,22.6,19.3,12.5,3.3,6.3,-1.488,-1.430,-1.391,,
1421109984879,18:46:24.879,24.9,20.3,8.2,25.7,17.7,9.3,11.6,11.1,-1.478,-1.400,-1.337,,
